[2019-12-05T08:54:53.458] [INFO] http - [::1 GET / 200 18ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T08:54:53.688] [INFO] http - [::1 GET /favicon.ico 404 3ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T08:55:04.676] [INFO] http - [::1 POST /login 200 27ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T08:55:15.271] [INFO] http - [::1 GET /feature?username=admin 200 17ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T08:55:18.522] [INFO] http - [::1 GET /price?username=admin 200 35ms][http://localhost:8006/feature?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T08:55:21.874] [INFO] http - [::1 GET /release?username=admin 200 10ms][http://localhost:8006/price?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T08:55:30.404] [INFO] http - [::1 POST /upload/image 200 39ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:01:03.550] [INFO] http - [::1 GET /release?username=admin 302 29ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:01:03.560] [INFO] http - [::1 GET / 304 7ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:01:10.502] [INFO] http - [::1 POST /login 200 36ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:01:13.478] [INFO] http - [::1 GET /release?username=admin 200 14ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:01:24.409] [INFO] http - [::1 POST /upload/image 200 12ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:01:49.783] [INFO] http - [::1 POST /upload/image 200 25ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:02:20.101] [INFO] http - [::1 POST /upload/image 200 8ms][http://localhost:8006/release?username=admin HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:03:01.749] [INFO] http - [::1 GET /release?username=admin 302 9ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:03:01.766] [INFO] http - [::1 GET / 304 13ms][http://localhost:8006/login HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
[2019-12-05T09:03:08.834] [INFO] http - [::1 POST /login 200 35ms][http://localhost:8006/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36]
